name,species,gender,house,blood
1992 Gryffindor vs Slytherin Quidditch match spectators,unknown,unknown,unknown,unknown
Hannah Abbott,Human,Female,Hufflepuff,Half-blood
Hannah Abbott's mother,Human,Female,unknown,unknown
Ernestina Abutor,Human,Female,unknown,unknown
Zoe Accrington,Human,Female,Slytherin,unknown
Aged witch,Human,Female,unknown,unknown
Agnes,Human,Female,unknown,unknown
Agnes Nutt,Human,Female,unknown,unknown
Aisha,Human,Female,unknown,unknown
Sakura Akagi,Human,Female,Gryffindor,unknown
Alannis,Human,Female,Ravenclaw,unknown
Filemina Alchin,Human,Female,Gryffindor,unknown
Dennis Aldermaston's mother,Human,Female,unknown,unknown
Cyprien Alesi,Human,Female,unknown,unknown
Badeea Ali,Human,Female,Ravenclaw,Half-blood
Badeea Ali's mother,Human,Female,unknown,Muggle
Alice,Human,Female,unknown,unknown
Alejandra Alonso,Human,Female,unknown,unknown
Altheda,Human,Female,unknown,unknown
Pamela Alton's mother,Human,Female,unknown,unknown
Pamela Alton,Human,Female,Ravenclaw,unknown
Alanza Alves,Human,Female,unknown,Pure-blood
Alanza Alves's grandmother,Human,Female,unknown,unknown
Alys,Human,Female,Hufflepuff,unknown
Amanda,Human,Female,Ravenclaw,unknown
Amata,Human,Female,unknown,unknown
Chandra Amble,Human,Female,unknown,unknown
Rosemary Ames,Human,Female,unknown,Muggle
Rosana Amorim,Human,Female,unknown,unknown
Danielle Amorinus,Human,Female,unknown,unknown
Debbie Amy,Human,Female,unknown,unknown
Jada Angela,Human,Female,Gryffindor,unknown
Angus Buchanan's siblings,Human,Male,unknown,Pure-blood
Unidentified registered Animagus,Human,Female,unknown,unknown
Tamsin Applebee,Human,Female,Hufflepuff,unknown
Angelina Appleby,Human,Female,Gryffindor,unknown
Chavelle Arbelo Cartaya,Human,Female,unknown,unknown
Becky Arncliffe,Human,Female,Ravenclaw,unknown
Artemis (goddess),Amortality,Female,unknown,unknown
Artemis (owl),Owl,Female,unknown,unknown
Asha,Human,Female,unknown,unknown
Maud Ashborn,Human,Female,unknown,unknown
Jane Austen,Human,Female,unknown,Muggle
Babayaga,Hag,Female,unknown,unknown
